Champion,Role,Rank,Win Percent,Play Percent,Ban Rate,Playerbase Avg. Games,Kills,Deaths,Assists,Largest Killing Spree,Damage Dealt,Damage Taken,Total Healing,Minions Killed,Enemy Jungle CS,Team Jungle CS,Gold Earned,Role Position,Position Change
Irelia,Top,57,0.4529,0.0268,0.0072,5.91,6.66,6.67,4.76,8,18467,28195,6943,203.1,2.66,3.71,12427,25,4
Ivern,Jungle,58,0.5123,0.0086,0.0003,6.53,2.23,4.13,12.27,4,7844,13067,6533,15.2,9.07,80.87,8824,43,0
Janna,Support,59,0.5209,0.046,0.0006,8.11,1.71,4.78,12.78,4,7917,12444,6672,17.1,0.09,0.09,7443,18,7
Jarvan IV,Jungle,60,0.4931,0.0493,0.0012,5.51,4.67,5.2,11.71,7,11049,27051,8546,30.5,6.75,73.82,10258,27,5
Jax,Jungle,61,0.4955,0.02,0.0091,7.18,6.06,5.72,5.57,9,14251,26865,9132,59.8,7.93,68.38,11041,29,2
Jax,Top,62,0.4935,0.0321,0.0091,6.05,6.09,6.12,4.37,8,18035,25592,4707,170.9,3.53,5.16,11803,21,1
Jayce,Middle,63,0.4854,0.0043,0.0007,9.53,7.21,6.08,6.82,7,22284,19917,3087,174.4,2.65,7.73,11977,30,3
Jayce,Top,64,0.4792,0.0123,0.0007,7.29,5.87,6.08,6.27,7,21348,20137,2521,182.4,2.36,5.05,11787,36,1
Jhin,ADC,65,0.5057,0.0686,0.0017,9.36,6.92,5.34,8.49,10,19822,17356,3799,177.9,1.68,6.26,12128,4,2
Jinx,ADC,66,0.4998,0.0432,0.0004,6.07,6.8,5.78,7.56,8,19458,17559,2469,182.7,2.43,9.83,12273,16,6
Kai'Sa,ADC,67,0.475,0.0698,0.0014,NaN,7.16,5.7,6.64,9,19026,18151,3601,182.7,2.16,8.79,12183,19,2
Kalista,ADC,68,0.4795,0.019,0.0018,4.86,7.31,6.18,6.86,7,18304,20147,4052,180.1,2.95,9.73,12208,23,0
Karma,Support,69,0.5031,0.0343,0.0004,6.98,2.14,5.13,11.67,4,10438,13181,2931,25.2,0.23,0.29,7653,27,1
Karthus,Jungle,70,0.4706,0.0156,0.0035,17.74,6.89,6.28,7.85,9,22611,25286,9984,40.8,9.09,101.46,11515,24,17
Kassadin,Middle,71,0.4988,0.035,0.0348,5.19,7.83,5.34,5.29,10,20369,25662,7897,168.6,2.64,7.9,11685,3,0
Katarina,Middle,72,0.4978,0.0334,0.0132,7.14,9.22,6.54,6.16,8,20806,24596,7206,153.8,1.21,2.71,11846,10,1
Kayle,Top,73,0.4882,0.0133,0.0005,6.23,5.22,5.67,5.91,7,18838,21161,8298,189.1,3.07,7.86,11885,35,8
Kayn,Jungle,74,0.5189,0.0909,0.0136,4.8,6.91,5.75,7.04,9,16311,31343,14771,36.6,10.43,81.96,11029,2,30
Kennen,Middle,75,0.5456,0.0016,0.0004,7.9,6.75,5.42,7.06,6,20957,19945,3282,161.6,1.31,2.64,11253,21,0
Kennen,Top,76,0.487,0.0065,0.0004,4.72,5.06,5.35,6.34,5,19200,20133,3739,165.7,1.02,2.29,10777,41,2
Kha'Zix,Jungle,77,0.5008,0.0481,0.0032,7.25,7.45,5.33,5.73,10,15838,29167,13831,27.6,10.01,82.86,10965,16,1
Kindred,Jungle,78,0.4962,0.0164,0.0007,4.13,6.23,5.99,6.93,7,15914,25663,13108,33,13.43,75.43,10691,28,2
Kled,Support,79,0.5872,0.0029,0.0032,44.63,3.81,3.17,3.01,6,8923,14779,1407,100.6,1.06,0.73,7093,10,9
Kled,Top,80,0.4998,0.0152,0.0032,6.92,6.09,5.6,7.21,7,18609,33270,4007,160.1,2.26,2.92,11562,10,3
Kog'Maw,ADC,81,0.5064,0.0109,0.0003,4.73,7.57,6.48,6.91,8,24898,19352,3054,176.4,2.03,9.9,12349,11,8
LeBlanc,Middle,82,0.4661,0.0348,0.0104,5.78,7.48,5.01,6.47,8,19554,20434,4235,145.3,1.37,4.84,10934,25,2
LeBlanc,Support,83,0.4688,0.0061,0.0104,14.84,3.77,3.18,3.32,6,8642,10104,1438,85.6,0.44,1.34,6501,48,3
Lee Sin,Jungle,84,0.4847,0.1201,0.0184,11.93,6.24,5.41,7.82,9,12539,26760,7869,26,8.53,72.58,10359,6,1
Leona,Support,85,0.5054,0.0615,0.0243,5.18,1.98,5.78,11.98,5,6787,17867,1924,32.3,0.05,0.06,7485,12,2
Lissandra,Middle,86,0.5033,0.0178,0.0008,3.91,5.58,5.82,8.84,8,19507,20123,2922,172.3,1.33,4.68,11161,27,9
Lucian,ADC,87,0.4818,0.0613,0.0024,9.62,7.11,5.68,7.02,9,19521,19261,2853,182.6,2.55,8.86,12282,17,2
Lulu,Support,88,0.5149,0.0816,0.0073,7.71,1.53,4.63,13.25,4,5507,11937,1920,19.3,0.08,0.11,7381,13,3
Lux,Middle,89,0.5067,0.0223,0.0014,5.63,6.21,5.05,9.1,8,21211,14097,1148,159.1,0.94,3.6,11055,17,4
Lux,Support,90,0.4746,0.033,0.0014,7.54,3.65,5.74,10.21,7,14311,11977,1092,39.3,0.39,0.74,8368,31,2
Malphite,Support,91,0.507,0.0091,0.0043,6.72,3.32,4.72,6.45,5,11288,13294,1008,65.2,0.44,0.92,7366,35,6
Malphite,Top,92,0.5112,0.0299,0.0043,4.25,4.65,4.92,8.04,7,17916,20190,2277,151,1.07,2.37,10426,27,4
Malzahar,Middle,93,0.5179,0.0156,0.004,7.51,4.94,5.37,7.85,6,20525,15456,1163,189.7,1.84,5.62,11782,18,2
Maokai,Support,94,0.5137,0.0153,0.0041,6,2.25,4.82,8.58,4,11032,18533,5186,57.1,0.27,0.37,7161,28,5
Maokai,Top,95,0.5339,0.0363,0.0041,4.52,3.47,4.83,9.24,5,18271,31699,11722,152.8,0.86,1.38,10062,3,4
Master Yi,Jungle,96,0.5152,0.0418,0.0249,5.77,7.66,6.25,4.72,8,15856,27578,11209,37.7,8.31,83.42,11388,5,1
Miss Fortune,ADC,97,0.5193,0.0889,0.0066,6.14,6.91,5.62,7.86,9,20230,16727,1982,185.4,2.03,7.96,12221,1,0
Mordekaiser,Top,98,0.4897,0.039,0.017,6.14,5.89,5.85,4.87,8,20423,27401,8041,166.7,2.04,3.34,11251,6,1
Morgana,Support,99,0.4871,0.0561,0.0387,5.62,2.53,5.55,12.06,6,10927,15123,3115,26.7,0.32,0.44,7993,3,0
Nami,Support,100,0.5184,0.0578,0.0008,8.85,1.7,4.98,13.89,4,7565,12456,10956,13.8,0.06,0.06,7467,6,2
Nasus,Top,101,0.5145,0.0294,0.0063,3.98,5.21,5.19,5.31,6,18372,33346,1823,174.6,2.2,3.79,11555,4,0
Nautilus,Support,102,0.5006,0.0628,0.028,6.62,2.23,5.82,11.41,4,8302,17055,1554,34.2,0.09,0.14,7509,8,1
Neeko,Middle,103,0.4835,0.0092,0.0004,NaN,5.93,5.98,7.87,7,19838,18594,2273,157.9,1.38,4.13,10928,42,2
Neeko,Support,104,0.4927,0.005,0.0004,NaN,3.38,5.49,7.42,5,12046,13401,1235,53.6,0.53,0.95,7780,40,2
Nidalee,Jungle,105,0.4769,0.0178,0.0008,5.31,6.39,5.33,6.76,7,14930,25852,14809,28.7,12.41,85.32,10573,32,1
Nocturne,Jungle,106,0.4905,0.02,0.0022,4.84,6.85,5.89,6.49,8,14729,27650,11321,38.6,7.36,84.98,11239,33,0
Nocturne,Middle,107,0.5012,0.004,0.0022,16.72,7.96,6.45,6.07,7,18698,23953,4809,172.3,4.64,9.2,12344,29,7
